Dates,Temp,Humidity,Actual,Normal 
10-Jan,14.34,3.91,3.48,19.9
10-Feb,17.9,5.19,15.82,18.6
10-Mar,26.63,4.39,0,15.5
10-Apr,33.34,4.21,0.15,12.7
10-May,36.77,5.98,3.82,20.8
10-Jun,37.46,9.83,5.06,59.9
10-Jul,31.88,19.65,135.54,234.7
10-Aug,28.79,21.3,304.87,244.2
10-Sep,26.55,19.17,275.31,128.3
10-Oct,24.05,14.1,8.92,25.9
10-Nov,19.34,9.58,9.65,5.3
10-Dec,13.2,5.86,4.17,8.2
11-Jan,11.21,4.46,0,19.9
11-Feb,16.55,6.16,25.99,18.6
11-Mar,22.44,6.1,1.34,15.5
11-Apr,28.99,6.35,6.32,12.7
11-May,35.9,8.97,38.3,20.8
11-Jun,34.7,15.2,75.71,59.9
11-Jul,30.76,19.96,150.64,234.7
11-Aug,28.7,20.87,164.19,244.2
11-Sep,27.01,19.17,113.58,128.3
11-Oct,24.46,11.35,0,25.9
11-Nov,20.69,8,0,5.3
11-Dec,15.23,4.76,0.78,8.2
12-Jan,12.75,4.46,9.64,19.9
12-Feb,15.85,3.72,0,18.6
12-Mar,23.36,3.36,8.15,15.5
12-Apr,30.11,6.77,18.87,12.7
12-May,35.13,6.1,3.04,20.8
12-Jun,38.43,9.34,0.29,59.9
12-Jul,33.62,17.33,107,234.7
12-Aug,29.34,19.65,176.33,244.2
12-Sep,26.68,17.64,105.67,128.3
12-Oct,23.87,9.16,2.28,25.9
12-Nov,18.59,5.55,0.46,5.3
12-Dec,14.48,4.09,4.89,8.2
13-Jan,11.99,3.66,26.31,19.9
13-Feb,15.83,6.1,75.31,18.6
13-Mar,22.83,6.29,8.07,15.5
13-Apr,29.92,6.65,5.42,12.7
13-May,35.71,5.31,0.29,20.8
13-Jun,34.41,15.38,89.05,59.9
13-Jul,30.17,20.51,190.01,234.7
13-Aug,28.22,20.57,207.17,244.2
13-Sep,27.01,17.7,49.83,128.3
13-Oct,23.94,13.67,32.47,25.9
13-Nov,17.35,6.9,0.19,5.3
13-Dec,14.27,5.25,3,8.2
14-Jan,13.24,5.07,13.12,19.9
14-Feb,15.24,5.55,41.89,18.6
14-Mar,21.2,6.47,44.28,15.5
14-Apr,28.2,6.71,8.96,12.7
14-May,33.77,8.42,34.96,20.8
14-Jun,37.6,10.86,27.35,59.9
14-Jul,33.8,16.05,104.24,234.7
14-Aug,31.32,17.15,64.97,244.2
14-Sep,29.16,14.65,68.47,128.3
14-Oct,26.41,8.54,0.78,25.9
14-Nov,20.45,4.15,0,5.3
14-Dec,14.33,3.6,11.63,8.2
15-Jan,12.66,4.58,21.96,19.9
15-Feb,18.11,5,1.14,18.6
15-Mar,21.37,7.32,96.95,15.5
15-Apr,28.02,8.85,28.01,12.7
15-May,35.17,6.41,7.87,20.8
15-Jun,35.23,11.66,68.17,59.9
15-Jul,30.75,18.92,225.53,234.7
15-Aug,29.57,18.98,212.79,244.2
15-Sep,29.15,12.63,19.96,128.3
15-Oct,26.39,8.42,0.9,25.9
15-Nov,21.56,6.16,1.09,5.3
15-Dec,15.88,3.11,0,8.2
16-Jan,15.61,3.17,0,19.9
16-Feb,18.64,3.11,0.3,18.6
16-Mar,24.95,5.55,16.22,15.5
16-Apr,32.11,5.25,0.1,12.7
16-May,35.57,8.85,26.71,20.8
16-Jun,36.48,13.55,30.96,59.9
16-Jul,30.89,19.84,247.79,234.7
16-Aug,28.69,20.57,123.19,244.2
16-Sep,28.83,15.32,48.49,128.3
16-Oct,26.12,8.36,11.67,25.9
16-Nov,20.51,4.09,0,5.3
16-Dec,16.72,3.05,0,8.2
17-Jan,14.39,4.27,27.94,19.9
17-Feb,17.98,4.21,0,18.6
17-Mar,23.85,4.64,9.99,15.5
17-Apr,32.12,4.88,11.31,12.7
17-May,35.97,7.87,17.39,20.8
17-Jun,34.94,13.85,106.93,59.9
17-Jul,30.95,19.41,126.6,234.7
17-Aug,30.48,18.74,86.54,244.2
17-Sep,28.5,14.95,119.21,128.3
17-Oct,25.76,8.36,0,25.9
17-Nov,19.16,5.74,0.37,5.3
17-Dec,15.33,4.27,6.2,8.2
18-Jan,13.63,3.11,3.19,19.9
18-Feb,19.26,3.91,0,18.6
18-Mar,25.51,4.21,0,15.5
18-Apr,31.14,6.53,8.55,12.7
18-May,35.46,6.9,9.93,20.8
18-Jun,36.35,13.67,45.25,59.9
18-Jul,31.77,19.53,203.66,234.7
18-Aug,28.8,20.69,116.46,244.2
18-Sep,26.59,17.88,151.85,128.3
18-Oct,23.64,11.6,0,25.9
18-Nov,19.48,7.14,4.61,5.3
18-Dec,13.54,4.46,0.47,8.2
19-Jan,12.77,4.39,34.1,19.9
19-Feb,15.51,5.74,29.67,18.6
19-Mar,21.38,6.04,7.27,15.5
19-Apr,30.78,7.32,5.24,12.7
19-May,34.28,7.32,25.28,20.8
19-Jun,37.69,10.31,9.72,59.9
19-Jul,33.58,18.13,144.57,234.7
19-Aug,30.05,20.45,135.47,244.2
19-Sep,29.57,18.43,56.31,128.3
19-Oct,25.51,10.74,20.13,25.9
19-Nov,21.26,8.06,2.35,5.3
19-Dec,12.84,4.88,29.33,8.2
20-Jan,12.72,5.55,30.17,19.9
20-Feb,15.91,5.62,0.98,18.6
20-Mar,21.25,8.18,75.99,15.5
20-Apr,28.38,8.79,10.05,12.7
20-May,33.64,9.34,21.55,20.8
20-Jun,35.05,14.34,50.51,59.9
20-Jul,32.9,19.04,55.23,234.7
20-Aug,30.09,21.06,218.43,244.2
20-Sep,30.28,16.11,20.47,128.3
20-Oct,26.21,6.71,0,25.9
20-Nov,19.56,4.64,1.43,5.3
20-Dec,15.31,4.15,0.68,8.2
21-Jan,13.26,4.94,37.11,19.9
21-Feb,18.77,4.82,2.18,18.6
21-Mar,25.95,4.94,2.93,15.5
21-Apr,30.01,4.46,2.16,12.7
21-May,31.92,9.83,105.62,20.8
21-Jun,33.32,14.59,24.88,59.9
21-Jul,32.02,19.1,255.94,234.7
21-Aug,28.89,20.51,196.74,244.2
21-Sep,27.23,19.9,265.95,128.3
21-Oct,24.07,13.73,74.34,25.9
21-Nov,17.53,7.75,0,5.3
21-Dec,13.44,5.62,4.49,8.2
22-Jan,12.01,6.41,71.82,19.9
22-Feb,15.12,6.35,17.57,18.6
22-Mar,24.79,7.26,0,15.5
22-Apr,32.82,4.82,0.12,12.7
22-May,35.01,8.67,54.64,20.8
22-Jun,35.87,11.41,22.05,59.9
22-Jul,32.66,18.74,184.78,234.7
22-Aug,31.1,18.49,57.76,244.2
22-Sep,29.67,17.64,160.64,128.3
22-Oct,23.54,13.31,99.2,25.9
22-Nov,18.45,9.16,0,5.3
22-Dec,14.28,5.62,0,8.2
