PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
Temperature,1981,-0.24,2.37,3.65,6.93,10.76,13.77,14.35,14.32,12.1,10.02,3.97,1.49,7.82
Temperature,1982,1.64,0.46,3.64,7.1,10.75,13.49,14.27,13.88,12.69,8.44,4.23,1.32,7.7
Temperature,1983,-1.35,-1.45,3,6.02,10.18,13.75,14.84,14.15,12.99,8.59,4.4,1.02,7.23
Temperature,1984,-0.53,1.58,5.04,8.12,11.26,14.26,13.76,13.87,11.5,10.04,3.72,1.81,7.89
Temperature,1985,-0.37,0.43,5.12,8.37,10.95,14.02,13.35,14.52,12.27,8.58,3.69,2.64,7.84
Temperature,1986,1.04,1.45,3.64,6.9,9.84,13.58,14.07,14.02,11.73,7.41,4.67,1.16,7.49
Temperature,1987,1.02,2.09,3.69,7.16,10.33,14.38,14.6,13.36,12.72,9.02,6.2,3.61,8.21
Temperature,1988,1.69,2.59,4.23,8.63,11.65,14.06,14.7,14.12,12.94,9.46,4.72,2.9,8.49
Temperature,1989,0.19,0.18,3.98,6.8,11.58,13.44,14.04,13.82,12.72,8.99,3.4,0.82,7.54
Temperature,1990,2.45,0.75,2.62,6.54,11.37,14.55,14.21,14.12,12.54,8.76,5.45,2.5,8.02
Temperature,1991,-0.81,1.87,4.47,7.11,11.18,13.82,14.61,13.7,12.44,8.76,3.41,1.45,7.69
Temperature,1992,0.74,-1.02,4.55,7.75,9.49,13.37,13.63,13.94,12.54,8.6,3.95,0.98,7.4
Temperature,1993,-0.38,2.24,2.97,6.99,10.94,13.57,14.75,14.21,12.12,9.37,5.48,2.86,7.95
Temperature,1994,1.67,0.34,4.49,7.12,11.31,14.35,15.01,14.44,13.1,8.53,3.54,1.11,7.96
Temperature,1995,-1.23,0.09,4.36,7.21,12.25,14.9,14.07,14.08,12.61,9.47,4.52,1.24,7.84
Temperature,1996,-0.05,1.53,4.95,7.62,11.48,13.16,14.48,13.9,12.51,9.01,4.51,2.4,7.98
Temperature,1997,-0.53,-1.08,3.89,5.64,9.92,13.53,14.82,13.97,11.76,7.63,4.5,1.18,7.15
Temperature,1998,0.18,1.51,3.08,8.01,12.31,14.79,14.77,14.08,12.99,10.62,6.42,2.36,8.46
Temperature,1999,0.76,4.37,5.19,9.46,12.02,14.05,14.24,13.83,12.82,9.34,5.83,1.79,8.65
Temperature,2000,0.03,-1.02,2.37,7.76,11.75,14.36,14.53,14.19,12,9.84,5.06,2.52,7.81
Temperature,2001,0.96,2.15,3.7,7.36,11.32,14.01,15,14.36,12.68,9.03,5.71,1.94,8.22
Temperature,2002,0.13,2.44,4.47,7.69,11.05,13.9,14.58,13.82,12.01,8.33,5.28,2.05,8.01
Temperature,2003,1.25,1.12,3.79,8.23,10.26,13.58,14.19,14.94,13.3,9.55,5.09,1.89,8.13
Temperature,2004,0.23,1.75,6.43,8.17,11.55,13.69,13.78,14.51,12.76,7.86,3.65,2.75,8.12
Temperature,2005,0.69,1.94,4.96,7.67,10.21,14.19,14.52,14.75,13.08,8.76,4.71,2.4,8.19
Temperature,2006,2.84,4.54,4.19,7.17,11.83,13.79,15.26,14.41,12.58,8.67,4.31,2.76,8.55
Temperature,2007,1.17,0.75,4.77,9.03,12.22,13.88,14.48,14.6,12.44,10,5.14,2.44,8.46
Temperature,2008,0.71,0.52,4.01,7.91,11.37,13.85,14.65,13.98,12.45,8.75,5.98,3.84,8.19
Temperature,2009,2.77,3.15,4.35,8.75,10.69,13.91,15.09,14.33,12.73,9.3,5.02,1.8,8.51
Temperature,2010,2.04,1.8,5.26,9.08,11.35,13.72,14.6,14.39,12.63,9.33,6.19,1.73,8.55
Temperature,2011,-0.43,2.12,4.32,7,11.21,13.82,14.29,13.56,12.72,9.13,5.07,2.52,7.98
Temperature,2012,-1.42,1.58,3.76,7.41,11.05,14.51,14.87,14.42,13.27,8.59,4.18,2.5,7.9
Temperature,2013,0.49,3.08,5.23,7.41,11.47,14.76,14.75,14.07,13.13,9.01,5.24,1.94,8.4
Temperature,2014,1.83,1.95,4.28,7.47,11,14.84,15.03,14.11,12.67,9.08,6.38,3.36,8.54
Temperature,2015,1.73,2.63,5.29,7.67,11.77,14.62,14.35,14.42,13.62,9.95,6.91,1.64,8.75
Temperature,2016,0.52,3.21,5.66,9.48,11.45,14.31,14.53,14.55,12.87,10.13,6.91,4.83,9.05
Temperature,2017,0.96,3.36,4.2,8.53,11.44,14.36,14.24,14.4,13.42,10.08,5.33,4.48,8.76
Temperature,2018,1.92,2.76,4.51,7.72,10.75,14.34,14.94,14.51,13.5,7.88,5.01,1.26,8.28
Temperature,2019,-0.05,1.6,3.49,8.41,11.08,14.48,14.45,14.94,12.76,9.58,6.95,1.22,8.27
